"Export Customers","Esporta Clienti"
"PoinZilla configuration","Configurazione PoinZilla"
"General Settings","Impostazioni Generali"
"Enable Module","Abilita il Modulo"
"Merchant code","Codice Merchant"
"Public key","Chiave Pubblica"
"Private key","Chiave Privata"
"Enable Setting Mode","Abilita Modalità Test"
"Customer email list","Elenco email clienti"
"Export Customers to CSV","Esporta Clienti in CSV"
"Enable setting mode to enable the module only for customers indicated in the following field","Abilita la modalità test per abilitare il modulo solo per i clienti indicati nel campo seguente"
"Insert the email addresses of the customers you want to enable the module for, separated by a comma","Inserisci gli indirizzi email dei clienti per i quali vuoi abilitare il modulo, separati da una virgola"
"for Store View ID %1"," per Store View con ID %1"
"for Website ID %1","per Website con ID %1"
"Export customers to import them into the Poinzilla panel","Esporta i clienti per importarli nel pannello Poinzilla"
"Tools","Strumenti"
"From","Dal"
"Start date (inclusive)","Data iniziale (inclusa)"
"To","Al"
"End date (inclusive)","Data finale (inclusa)"
"Force retry","Forza retry"
"Select both dates.","Seleziona entrambe le date."
"Invalid date format. Use YYYY-MM-DD.","Formato data non valido. Usa YYYY-MM-DD."
"Start date cannot be after end date.","La data iniziale non può essere successiva alla finale."
"Processing...","Elaborazione..."
"Operation completed.","Operazione completata."
"An error occurred during the operation.","Errore durante l'operazione."
"Retry executed. Success: %1 — Failures: %2","Retry eseguita. Successi: %1 — Falliti: %2"
"Invalid parameters. Select both dates.","Parametri non validi. Seleziona entrambe le date."
"Invalid store: %1","Store non valido: %1"
"Invalid website: %1","Website non valida: %1"
"The website ""%1"" has no associated stores.","La website ""%1"" non ha store associati."
"A server error occurred while forcing retries.","Si è verificato un errore durante la forzatura delle retry."
"Force resend of customers and orders to PoinZilla","Forza il reinvio di clienti e ordini a PoinZilla"
